source,target,value
web,simplenote-ios,6
web,mail,6
web,iphone-3gs,6
web,internet-explorer,6
web,creative-suite,6
software,sublime-text-2,6
software,photoshop,6
software,office,6
software,mail,6
software,magic-mouse,6
scientist,macbook-air,6
scientist,cinema-display,6
researcher,macbook-pro,6
musician,live,6
mac,yelp-ios,6
mac,scansnap-s1500m,6
mac,performance-mouse-mx,6
mac,ipad-3g,6
mac,ia-writer-ios,6
mac,goodreader-ios,6
mac,flipboard-ios,6
mac,finepix-x100,6
mac,facebook-ios,6
mac,ec2,6
linux,mac-pro,6
linux,ipad-2,6
linux,google-calendar,6
game,iphone-3g,6
game,ipad-2,6
editor,macbook-pro,6
editor,macbook-air,6
developer,words-with-friends-ios,6
developer,word,6
developer,simplenote-ios,6
developer,reeder-ios,6
developer,notational-velocity,6
developer,lightroom,6
developer,ipad,6
developer,airport-extreme,6
designer,windows-xp,6
designer,twitter-mac,6
designer,notational-velocity,6
designer,mac-mini,6
designer,lumix-dmc-gf1,6
designer,ipod-touch,6
designer,illustrator,6
designer,cintiq,6
writer,windows-xp,5
writer,time-capsule,5
writer,photoshop,5
writer,movable-type,5
writer,magic-mouse,5
writer,mac-mini,5
writer,keyboard,5
writer,ipad-3,5
writer,ia-writer-mac,5
writer,chrome,5
windows,twitter-ios,5
windows,office,5
windows,iphone-3gs,5
windows,excel,5
windows,creative-suite,5
windows,c-plusplus,5
web,office,5
web,illustrator,5
web,eos-5d-mark-ii,5
web,apple-tv,5
suit,chrome,5
software,word,5
software,twitter-mac,5
software,time-capsule,5
software,mobile-me,5
software,magic-trackpad,5
software,iphone-4s,5
software,iphone-3g,5
software,intuos,5
software,final-cut-pro,5
software,airport-extreme,5
scientist,iphone-4,5
researcher,google-docs,5
photographer,cinema-display,5
musician,pro-tools,5
musician,logic-pro,5
mac,starcraft-2,5
mac,snowball,5
mac,sketchup,5
mac,sequel-pro,5
mac,screen,5
mac,powerbook-g4,5
mac,power-mac-g5,5
mac,photoshop-elements,5
mac,nexus-s,5
mac,mx-revolution,5
mac,mail-ios,5
mac,istat-menus,5
mac,intellij-idea,5
mac,google-talk,5
mac,google-plus,5
mac,google-maps,5
mac,final-cut-studio,5
mac,excel,5
mac,ego-ios,5
mac,d90,5
mac,aeron,5
linux,ubuntu,5
linux,kindle,5
linux,iphone-4,5
linux,c-plusplus,5
linux,arch-linux,5
journalist,macbook-air,5
interface,macbook-air,5
game,iphone-4s,5
game,iphone-4,5
game,ipad,5
game,intuos,5
game,illustrator,5
game,cintiq,5
game,cinema-display,5
film,after-effects,5
developer,ubuntu,5
developer,mobile-me,5
developer,ipad-3g,5
developer,ipad-3,5
developer,instagram-ios,5
developer,illustrator,5
developer,hd-280-pro,5
developer,google-apps,5
developer,ec2,5
developer,airport-express,5
developer,aeron,5
designer,windows-7,5
designer,vmware-fusion,5
designer,reeder-ios,5
designer,magic-trackpad,5
designer,imac,5
designer,bamboo,5
data,macbook-pro,5
artist,windows-7,5
artist,google-docs,5
writer,twitterrific-ios,4
writer,thunderbolt-display,4
writer,snowball,4
writer,safari-ios,4
writer,nexus-one,4
writer,model-m,4
writer,mail,4
writer,magic-trackpad,4
writer,lumix-dmc-gf1,4
writer,ipad,4
writer,google-apps,4
windows,ps3,4
windows,openoffice,4
windows,notepad-plusplus,4
windows,kindle,4
windows,ipod-touch,4
windows,iphone-4s,4
windows,intuos,4
windows,instapaper-ios,4
windows,cintiq,4
windows,cinema-display,4
web,words-with-friends-ios,4
web,time-capsule,4
web,starcraft-2,4
web,nexus-one,4
web,mobile-me,4
web,lightroom,4
web,kindle-ios,4
web,iterm2,4
web,ipad-3,4
web,intuos,4
web,instagram-ios,4
web,foursquare-ios,4
web,finepix-x100,4
web,boot-camp,4
web,advantage-usb,4
suit,mac-pro,4
suit,mac-mini,4
suit,google-docs,4
software,twitter-ios,4
software,thunderbolt-display,4
software,superduper,4
software,simplenote-ios,4
software,reeder-ios,4
software,natural-ergonomic-keyboard-4000,4
software,mx-518,4
software,model-m,4
software,mighty-mouse,4
software,iphone-3gs,4
software,ipad,4
software,hd-280-pro,4
software,eos-5d-mark-ii,4
software,ec2,4
scientist,ipad-2,4
researcher,mac-os-x,4
professor,macbook-pro,4
photographer,photoshop,4
photographer,macbook-air,4
photographer,iphone-4,4
musician,windows-7,4
musician,mac-pro,4
mac,xcode,4
mac,wow,4
mac,windows-vista,4
mac,voyager-q,4
mac,visual-studio,4
mac,verticalmouse,4
mac,u2410,4
mac,twitterrific-ios,4
mac,tripit-ios,4
mac,transmit,4
mac,the-hit-list,4
mac,subversion,4
mac,spotify-ios,4
mac,rebel-t2i,4
mac,rails,4
mac,plan-9,4
mac,pigma-micron,4
mac,path-ios,4
mac,natural-ergonomic-keyboard-4000,4
mac,mdr-7506,4
mac,make,4
mac,macbook,4
mac,m9,4
mac,logic-studio,4
mac,liveview-ios,4
mac,ipod-shuffle,4
mac,ipod-nano,4
mac,ipod-classic,4
mac,iphone,4
mac,ical,4
mac,happy-hacking-keyboard,4
mac,fontexplorer-x,4
mac,flash,4
mac,extended-keyboard-ii,4
mac,expert-mouse,4
mac,ef-50mm-f1.2l-usm,4
mac,echofon-ios,4
mac,dropbox-ios,4
mac,cinema-4d,4
mac,app-engine,4
linux,subversion,4
linux,model-m,4
linux,mail,4
linux,iterm2,4
linux,iphone-4s,4
linux,cyanogen,4
journalist,macbook-pro,4
interface,iphone-4,4
hacker,google-calendar,4
hacker,cinema-display,4
hacker,c-plusplus,4
game,parallels-desktop,4
game,notepad-plusplus,4
game,magic-mouse,4
film,macbook-air,4
film,mac-os-x,4
developer,yelp-ios,4
developer,wow,4
developer,windows-vista,4
developer,twidroid-android,4
developer,starcraft-2,4
developer,sequel-pro,4
developer,quietcomfort-15,4
developer,plan-9,4
developer,nexus-s,4
developer,natural-ergonomic-keyboard-4000,4
developer,model-m,4
developer,mighty-mouse,4
developer,make,4
developer,intellij-idea,4
developer,g1,4
developer,foursquare-ios,4
developer,final-cut-pro,4
developer,facebook-ios,4
developer,excel,4
developer,cyanogen,4
developer,connectbot-android,4
developer,bamboo,4
developer,arch-linux,4
developer,app-engine,4
developer,advantage-usb,4
designer,tweetbot-ios,4
designer,time-capsule,4
designer,mobile-me,4
designer,google-plus,4
designer,google-apps,4
designer,goodreader-ios,4
designer,airport-extreme,4
designer,address-book,4
artist,magic-mouse,4
artist,mac-mini,4
artist,iphone-4,4
artist,ipad-2,4
artist,illustrator,4
artist,creative-suite,4
artist,bamboo,4
artist,apple-tv,4
writer,xbox-360,3
writer,words-with-friends-ios,3
writer,windows-vista,3
writer,vmware-fusion,3
writer,twitter-mac,3
writer,tweetie-ios,3
writer,transmit,3
writer,time-machine,3
writer,scansnap-s1500m,3
writer,quietcomfort-15,3
writer,photoshop-elements,3
writer,openoffice,3
writer,office,3
writer,mobile-me,3
writer,ipod-shuffle,3
writer,ibooks-ios,3
writer,google-talk,3
writer,g1,3
writer,finepix-x100,3
writer,airport-extreme,3
writer,airport-express,3
writer,address-book,3
windows,wow,3
windows,windows-media-player,3
windows,visual-c-plusplus,3
windows,twitter-mac,3
windows,sublime-text-2,3
windows,starcraft-2,3
windows,sr80i,3
windows,premiere,3
windows,photoshop-elements,3
windows,live,3
windows,lightroom,3
windows,iterm2,3
windows,ipad,3
windows,instagram-ios,3
windows,illustrator,3
windows,gmail,3
windows,flash,3
windows,eos-7d,3
windows,bamboo,3
windows,3ds-max,3
web,yelp-ios,3
web,ubuntu,3
web,tweetbot-ios,3
web,screen,3
web,reeder-ios,3
web,mx-518,3
web,mx-1000,3
web,kindle,3
web,iphone,3
web,ipad-3g,3
web,ipad,3
web,instapaper-ios,3
web,imac,3
web,hd-280-pro,3
web,google-apps,3
web,g1,3
web,facebook-ios,3
web,extended-keyboard-ii,3
web,bamboo,3
web,airport-express,3
suit,windows-xp,3
suit,windows-7,3
suit,office,3
suit,mac-os-x,3
suit,iphone-4s,3
suit,iphone-4,3
suit,google-reader,3
suit,foursquare-ios,3
suit,cinema-display,3
software,yelp-ios,3
software,windows-xp,3
software,wes51,3
software,twitterrific-ios,3
software,thinkpad-x200,3
software,terminal,3
software,starcraft-2,3
software,scansnap-s1500m,3
software,notational-velocity,3
software,nexus-7,3
software,make,3
software,liveview-ios,3
software,kindle-ios,3
software,ipad-3,3
software,intellij-idea,3
software,instagram-ios,3
software,inspiron-mini-9,3
software,imac,3
software,google-apps,3
software,gnome,3
software,foursquare-ios,3
software,fluid,3
software,facebook-ios,3
software,excel,3
software,evernote-ios,3
software,cyanogen,3
software,arch-linux,3
software,apple-tv,3
software,address-book,3
scientist,windows-7,3
scientist,magic-mouse,3
scientist,keyboard,3
scientist,iphone-3gs,3
scientist,google-docs,3
scientist,google-calendar,3
researcher,windows-7,3
researcher,keyboard,3
researcher,ipad-2,3
professor,word,3
professor,macbook-air,3
professor,mac-os-x,3
professor,iphone-4,3
podcaster,macbook-pro,3
photographer,photo-mechanic,3
photographer,mac-pro,3
photographer,lightroom,3
photographer,instapaper-ios,3
photographer,instagram-ios,3
photographer,google-docs,3
photographer,final-cut-pro,3
photographer,eos-5d-mark-ii,3
musician,sm57,3
musician,mac-os-x,3
musician,cinema-display,3
mac,yeti,3
mac,wes51,3
mac,unity,3
mac,ubuntu,3
mac,traktor-pro,3
mac,toon-boom-studio,3
mac,things-ios,3
mac,studio-display,3
mac,sr60i,3
mac,soundsticks,3
mac,snapz-pro-x,3
mac,sm57,3
mac,sl-1200,3
mac,skype-ios,3
mac,sketchbook-pro-ios,3
mac,sigma-30mm-f1.4,3
mac,se530,3
mac,scansnap-s1300,3
